epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,277.479,1.86162,1.10335,1.01778,0.61161,0.68559,0.58567,0.19473,2.25816,1.21812,1.14248,0.00412246,0.00412246,0.00412246
58,282.097,1.9469,1.13396,1.02908,0.63442,0.66843,0.5732,0.18145,2.40756,1.22908,1.15014,0.00397019,0.00397019,0.00397019
59,286.829,1.81457,1.04572,1.01873,0.65736,0.66468,0.61195,0.22422,2.33862,1.23042,1.14293,0.00381899,0.00381899,0.00381899
60,291.354,1.86462,1.09578,1.00597,0.61027,0.62698,0.55951,0.1862,2.35983,1.21862,1.12953,0.00366899,0.00366899,0.00366899
61,295.882,1.80673,1.04902,0.96868,0.67439,0.64484,0.60544,0.22081,2.26754,1.25947,1.11701,0.00352037,0.00352037,0.00352037
62,300.867,1.8262,1.01648,1.00824,0.68803,0.61349,0.61199,0.22114,2.268,1.30764,1.12155,0.00337325,0.00337325,0.00337325
63,305.37,1.77887,1.01956,1.01312,0.7156,0.67698,0.65222,0.2332,2.20405,1.22719,1.12016,0.00322778,0.00322778,0.00322778
64,310.01,1.78785,0.99945,0.99278,0.64694,0.66865,0.62911,0.22335,2.21437,1.23115,1.12212,0.00308412,0.00308412,0.00308412
65,314.601,1.7974,1.02394,0.95966,0.64944,0.712,0.67541,0.25299,2.16839,1.26367,1.11153,0.00294239,0.00294239,0.00294239
66,319.731,1.68984,0.95552,1.00526,0.65966,0.71627,0.67028,0.24109,2.21743,1.28601,1.12158,0.00280275,0.00280275,0.00280275
67,324.348,1.79149,0.99125,0.98381,0.57749,0.73509,0.63394,0.2071,2.21728,1.30256,1.11843,0.00266532,0.00266532,0.00266532
68,329.164,1.77435,0.97493,0.98869,0.58681,0.69554,0.62414,0.22081,2.15957,1.25698,1.10903,0.00253024,0.00253024,0.00253024
69,333.897,1.87629,1.20168,1.0005,0.60803,0.65476,0.58361,0.2177,2.2181,1.23612,1.11649,0.00239766,0.00239766,0.00239766
70,338.617,1.6431,0.92843,0.95669,0.61406,0.65476,0.61313,0.2226,2.22929,1.21153,1.11509,0.00226769,0.00226769,0.00226769
71,343.343,1.83168,1.01793,0.98327,0.61052,0.6369,0.6002,0.23288,2.2115,1.17655,1.0932,0.00214046,0.00214046,0.00214046
72,348.451,1.66731,1.00288,0.96523,0.65082,0.64777,0.60174,0.22471,2.29581,1.22663,1.10735,0.00201611,0.00201611,0.00201611
73,353.118,1.70695,0.95432,0.97449,0.63292,0.67063,0.60557,0.24404,2.2636,1.22296,1.11468,0.00189475,0.00189475,0.00189475
74,357.791,1.60834,0.9207,0.9623,0.66702,0.68091,0.63728,0.2423,2.27409,1.23823,1.1244,0.00177651,0.00177651,0.00177651
75,362.313,1.50563,0.8581,0.9046,0.63566,0.69643,0.64148,0.2389,2.29812,1.24824,1.11129,0.00166149,0.00166149,0.00166149
76,367.036,1.59866,0.90805,0.96759,0.66448,0.68056,0.65389,0.23925,2.29282,1.24396,1.11029,0.00154982,0.00154982,0.00154982
77,371.919,1.56803,0.88121,0.95435,0.679,0.65278,0.63832,0.24114,2.30127,1.25031,1.11665,0.00144161,0.00144161,0.00144161
78,376.792,1.55264,0.89698,0.93211,0.66778,0.69841,0.64602,0.2456,2.25869,1.24571,1.10622,0.00133695,0.00133695,0.00133695
79,382.062,1.61599,0.88328,0.95744,0.67428,0.73214,0.67468,0.261,2.18824,1.20585,1.09215,0.00123596,0.00123596,0.00123596
80,387.418,1.65854,0.85394,0.9655,0.67457,0.7091,0.64693,0.25873,2.22353,1.21304,1.09529,0.00113873,0.00113873,0.00113873
81,392.316,1.6051,0.86176,0.96084,0.66996,0.67768,0.64654,0.24672,2.26414,1.22237,1.10055,0.00104537,0.00104537,0.00104537
